leg,arch,subset_size,n_reactions,n_density_species,E_kcalmol,D_rmse,gamma,gammaD_kcalmol,ED_kcalmol,E_pbe_kcalmol,D_pbe_rmse,ED_pbe_kcalmol,beats_pbe,E_scan_kcalmol,D_scan_rmse,ED_scan_kcalmol,beats_scan,ED_pbe_cell_kcalmol,ED_scan_cell_kcalmol,n_reactions_slice
wtmad2,deep_3x16,1,132,196,5.201394219939864,0.00027572543592335356,28060.734230065707,7.7370581779142364,6.220757853947992,6.555104711882015,0.0002336041765029277,6.555104711882015,True,3.9906736843109356,0.00018668056176086547,4.530191165473266,False,6.584298136767455,4.548255749750894,132
wtmad2,deep_3x16,2,133,195,6.281278455122722,0.0003045721634452915,28060.734230065707,8.546518532314458,7.240868318984504,6.555104711882015,0.0002336041765029277,6.555104711882015,False,3.9906736843109356,0.00018668056176086547,4.530191165473266,False,6.563312845966496,4.541535063598733,133
wtmad2,deep_3x16,3,133,192,4.817529473791263,0.0002801864171964504,28060.734230065707,7.862236587823906,5.974330489648945,6.555104711882015,0.0002336041765029277,6.555104711882015,True,3.9906736843109356,0.00018668056176086547,4.530191165473266,False,6.581895598702818,4.557019349728483,133
wtmad2,deep_3x16,4,132,191,5.041675562689505,0.0002713211841760636,28060.734230065707,7.61347164015123,6.066251668216666,6.555104711882015,0.0002336041765029277,6.555104711882015,True,3.9906736843109356,0.00018668056176086547,4.530191165473266,False,6.612055771025581,4.576831895382754,132
wtmad2,deep_3x16,5,133,192,4.533572670370437,0.0002926977612483308,28060.734230065707,8.213314088124635,5.842313811766609,6.555104711882015,0.0002336041765029277,6.555104711882015,True,3.9906736843109356,0.00018668056176086547,4.530191165473266,False,6.581895598701941,4.557019349728483,133
wtmad2,deep_3x16,6,132,191,4.769126482484631,0.0002903063586337184,28060.734230065707,8.146209574918913,6.016150666609288,6.555104711882015,0.0002336041765029277,6.555104711882015,True,3.9906736843109356,0.00018668056176086547,4.530191165473266,False,6.61023376449037,4.576678022820511,132
wtmad2,deep_3x16,7,132,192,4.085789191317834,0.0002753074281461846,28060.734230065707,7.725328572772997,5.344805565816726,6.555104711882015,0.0002336041765029277,6.555104711882015,True,3.9906736843109356,0.00018668056176086547,4.530191165473266,False,6.597728008193711,4.57024198020893,132
wtmad2,deep_3x16,12,128,184,4.422674213485755,0.00028135474461368467,28060.734230065707,7.895020712972617,5.669421873275669,6.555104711882015,0.0002336041765029277,6.555104711882015,True,3.9906736843109356,0.00018668056176086547,4.530191165473266,False,6.676932746340065,4.645968270924766,128
wtmad2,deep_3x16,15,127,182,4.400826609738091,0.0002790627234452327,28060.734230065707,7.8307049161150015,5.63487483067943,6.555104711882015,0.0002336041765029277,6.555104711882015,True,3.9906736843109356,0.00018668056176086547,4.530191165473266,False,6.695318635486607,4.671502688555656,127
wtmad2,deep_3x16,18,125,182,4.50269000095447,0.00025640729057769054,28060.734230065707,7.194976835551805,5.539010591998368,6.555104711882015,0.0002336041765029277,6.555104711882015,True,3.9906736843109356,0.00018668056176086547,4.530191165473266,False,6.702627378824292,4.7015960188590205,125
wtmad2,deep_3x16,26,119,173,4.736592406502998,0.00026864318650120955,28060.734230065707,7.538325059128416,5.817712963495225,6.555104711882015,0.0002336041765029277,6.555104711882015,True,3.9906736843109356,0.00018668056176086547,4.530191165473266,False,6.859050679720529,4.833427215299984,119
