leg,arch,subset_size,n_reactions,n_density_species,E_kcalmol,D_rmse,gamma,gammaD_kcalmol,ED_kcalmol,E_pbe_kcalmol,D_pbe_rmse,ED_pbe_kcalmol,beats_pbe,E_scan_kcalmol,D_scan_rmse,ED_scan_kcalmol,beats_scan,ED_pbe_cell_kcalmol,ED_scan_cell_kcalmol,n_reactions_slice,D_insample_rmse,n_insample_species
bh76_wtmad2_eps_gamma_dfs,medium,2,1,2,2.6570331685381,0.008053522653281797,1084.87,8.737025120865823,4.0748546217426025,18.603755219635225,0.007876211567270652,11.710652995997247,True,,,,,10.970490150376284,,1,,
bh76_wtmad2_eps_gamma_dfs,medium,3,2,3,2.9605232939566966,0.011056556098959497,1084.87,11.994926015078189,4.748938951031461,18.603755219635225,0.007876211567270652,11.710652995997247,True,,,,,12.57060697391662,,2,,
bh76_wtmad2_eps_gamma_dfs,medium,4,2,3,3.9436862780417568,0.01059133801627881,1084.87,11.490224873720392,5.871984323420383,18.603755219635225,0.007876211567270652,11.710652995997247,True,,,,,12.570606973886195,,2,,
bh76_wtmad2_eps_gamma_dfs,medium,5,2,3,5.891752357667632,0.009912487365990591,1084.87,10.753760168742211,7.612681403165488,18.603755219635225,0.007876211567270652,11.710652995997247,True,,,,,12.570606973915519,,2,,
bh76_wtmad2_eps_gamma_dfs,medium,6,2,3,6.79073896444208,0.00952254553932705,1084.87,10.330723979249736,8.194772851771337,18.603755219635225,0.007876211567270652,11.710652995997247,True,,,,,12.570606973900857,,2,,
bh76_wtmad2_eps_gamma_dfs,medium,7,1,2,8.078064907139037,0.007798368729205981,1084.87,8.460216283253692,8.26472539410669,18.603755219635225,0.007876211567270652,11.710652995997247,True,,,,,10.97049015039886,,1,,
bh76_wtmad2_eps_gamma_dfs,medium,12,3,4,7.02196835570373,0.009156794647199705,1084.87,9.933931808907543,8.227903459287287,18.603755219635225,0.007876211567270652,11.710652995997247,True,,,,,11.710652995998526,,3,,
bh76_wtmad2_eps_gamma_dfs,medium,15,3,4,7.7483867295075015,0.008372747793197209,1084.87,9.083342898405855,8.362925870298612,18.603755219635225,0.007876211567270652,11.710652995997247,True,,,,,11.710652996017453,,3,,
bh76_wtmad2_eps_gamma_dfs,medium,18,3,4,7.757002093065861,0.008756747215334091,1084.87,9.499932351499496,8.540450260303656,18.603755219635225,0.007876211567270652,11.710652995997247,True,,,,,11.7106529960195,,3,,
bh76_wtmad2_eps_gamma_dfs,medium,26,3,4,9.519967105781765,0.006631233173574644,1084.87,7.194025933015923,8.195156008678,18.603755219635225,0.007876211567270652,11.710652995997247,True,,,,,11.710652996018476,,3,,
bh76_wtmad2_eps_gamma_dfs,medium_attn,2,1,2,0.8158013988315921,0.00468629759979193,1084.87,5.084023677086271,1.4059920672528279,18.603755219635225,0.007876211567270652,11.710652995997247,True,,,,,10.970490150407691,,1,,
bh76_wtmad2_eps_gamma_dfs,medium_attn,3,2,3,1.5667316920322663,0.006258857978746223,1084.87,6.790047255402413,2.5460006283165653,18.603755219635225,0.007876211567270652,11.710652995997247,True,,,,,12.570606973903056,,2,,
bh76_wtmad2_eps_gamma_dfs,medium_attn,4,2,3,2.464038243487896,0.006219718937513242,1084.87,6.74758648373999,3.609854209113188,18.603755219635225,0.007876211567270652,11.710652995997247,True,,,,,12.570606973894625,,2,,
bh76_wtmad2_eps_gamma_dfs,medium_attn,5,2,3,2.5820554313467823,0.00584177501643737,1084.87,6.3375664620824095,3.669202147906271,18.603755219635225,0.007876211567270652,11.710652995997247,True,,,,,12.570606973868598,,2,,
bh76_wtmad2_eps_gamma_dfs,medium_attn,6,2,3,3.179125680922159,0.005942589936926972,1084.87,6.446937544873963,4.25836070913922,18.603755219635225,0.007876211567270652,11.710652995997247,True,,,,,12.57060697389316,,2,,
bh76_wtmad2_eps_gamma_dfs,medium_attn,7,1,2,1.567860791300628,0.005093935382480089,1084.87,5.526257678391174,2.442700322412285,18.603755219635225,0.007876211567270652,11.710652995997247,True,,,,,10.970490150369413,,1,,
w411_wtmad2_eps_gamma_dfs,medium,1,1,1,0.02392456262872307,0.007279386531387448,1084.87,7.8971880663063,0.04770460397015001,3.8273809099694023,0.008918072712206333,5.484937184005583,True,,,,,0.7907757913570869,,1,,
w411_wtmad2_eps_gamma_dfs,medium,2,1,3,1.6134326146235423,0.013533028082880394,1084.87,14.681576176274453,2.9073606698650702,3.8273809099694023,0.008918072712206333,5.484937184005583,True,,,,,6.154015280699072,,1,,
w411_wtmad2_eps_gamma_dfs,medium,4,1,4,0.015956442990610012,0.01117791328440285,1084.87,12.126582784850118,0.03187094943596616,3.8273809099694023,0.008918072712206333,5.484937184005583,True,,,,,2.169802457017542,,1,,
w411_wtmad2_eps_gamma_dfs,medium,5,1,4,1.1605127993604953,0.013147359767167504,1084.87,14.263176190607009,2.146386450025038,3.8273809099694023,0.008918072712206333,5.484937184005583,True,,,,,6.126760564170998,,1,,
w411_wtmad2_eps_gamma_dfs,medium,6,2,5,1.0438662347309042,0.01234370168397108,1084.87,13.391311645889704,1.9367600706423724,3.8273809099694023,0.008918072712206333,5.484937184005583,True,,,,,3.5209427046433386,,2,,
w411_wtmad2_eps_gamma_dfs,medium,7,4,6,0.5329356220883081,0.01041825293418927,1084.87,11.302450060713912,1.0178761243042904,3.8273809099694023,0.008918072712206333,5.484937184005583,True,,,,,4.90121478885701,,4,,
w411_wtmad2_eps_gamma_dfs,medium,12,7,10,1.4315136158446804,0.010385137665816774,1084.87,11.266524299514643,2.540263786500715,3.8273809099694023,0.008918072712206333,5.484937184005583,True,,,,,5.288346511195892,,7,,
w411_wtmad2_eps_gamma_dfs,medium,15,10,13,1.283834460691976,0.009053776592934187,1084.87,9.82217061237651,2.2708509545963924,3.8273809099694023,0.008918072712206333,5.484937184005583,True,,,,,5.1367703924137595,,10,,
w411_wtmad2_eps_gamma_dfs,medium,18,13,15,1.4073102221568858,0.009487623784711826,1084.87,10.292838415320317,2.4760739655035153,3.8273809099694023,0.008918072712206333,5.484937184005583,True,,,,,5.789153550987373,,13,,
w411_wtmad2_eps_gamma_dfs,medium,26,21,21,1.193454574922548,0.007334859324740711,1084.87,7.9573688356314545,2.0756073667157615,3.8273809099694023,0.008918072712206333,5.484937184005583,True,,,,,5.4849371840017875,,21,,
w411_wtmad2_eps_gamma_dfs,medium_attn,1,1,1,0.047625980242987836,0.00494368537719774,1084.87,5.363255955160511,0.09441356333697695,3.8273809099694023,0.008918072712206333,5.484937184005583,True,,,,,0.7907757913610339,,1,,
w411_wtmad2_eps_gamma_dfs,medium_attn,2,1,3,0.35509740313866217,0.006168999311856446,1084.87,6.692562283453702,0.6744115331559771,3.8273809099694023,0.008918072712206333,5.484937184005583,True,,,,,6.15401528069566,,1,,
w411_wtmad2_eps_gamma_dfs,medium_attn,4,1,4,0.10424742243192715,0.006483935683412181,1084.87,7.034227304863371,0.2054500697546432,3.8273809099694023,0.008918072712206333,5.484937184005583,True,,,,,2.1698024570071994,,1,,
w411_wtmad2_eps_gamma_dfs,medium_attn,5,1,4,0.1353238463679988,0.007315440772905512,1084.87,7.936302231302002,0.26611018239554934,3.8273809099694023,0.008918072712206333,5.484937184005583,True,,,,,6.1267605641716525,,1,,
w411_wtmad2_eps_gamma_dfs,medium_attn,6,2,5,0.2685573312300977,0.007239100097097934,1084.87,7.853482522338635,0.5193548283648868,3.8273809099694023,0.008918072712206333,5.484937184005583,True,,,,,3.520942704656374,,2,,
w411_wtmad2_eps_gamma_dfs,medium_attn,7,4,6,0.26652666204340536,0.006400694568697651,1084.87,6.9439215167430195,0.5133495664787904,3.8273809099694023,0.008918072712206333,5.484937184005583,True,,,,,4.901214788852392,,4,,
combined_wtmad2_eps_gamma_dfs,medium,1,1,1,0.02392456262872307,0.007279386531387448,1084.87,7.8971880663063,0.04770460397015001,5.67442769867763,0.008881090190385499,7.142363628051565,True,,,,,0.7907757913570869,,1,,
combined_wtmad2_eps_gamma_dfs,medium,2,2,3,2.135232891580821,0.013533028082880394,1084.87,14.681576176274453,3.7282440711956806,5.67442769867763,0.008881090190385499,7.142363628051565,True,,,,,11.273786636922015,,2,,
combined_wtmad2_eps_gamma_dfs,medium,3,2,3,2.9605232939566966,0.011056556098959497,1084.87,11.994926015078189,4.748938951031461,5.67442769867763,0.008881090190385499,7.142363628051565,True,,,,,12.57060697391662,,2,,
combined_wtmad2_eps_gamma_dfs,medium,4,3,4,2.6344429996913745,0.01117791328440285,1084.87,12.126582784850118,4.328532663520262,5.67442769867763,0.008881090190385499,7.142363628051565,True,,,,,11.576980457698177,,3,,
