#Epoch	Loss	Best
0	85.46872858254547	85.46872858254547
1	36.80359318473204	36.80359318473204
2	14.126733381869267	14.126733381869267
3	4.191081239344681	4.191081239344681
4	4.180489928534392	4.180489928534392
5	4.169848564309998	4.169848564309998
6	4.1589957509515125	4.1589957509515125
7	4.267718646522475	4.1589957509515125
8	4.138606903831172	4.138606903831172
9	4.1280939701916255	4.1280939701916255
10	4.116254686158746	4.116254686158746
11	4.103092809183949	4.103092809183949
12	4.088341484752266	4.088341484752266
13	4.0709720580825275	4.0709720580825275
14	3.9676057242790117	3.9676057242790117
15	3.7354776541702375	3.7354776541702375
16	3.263719911026368	3.263719911026368
17	29.514200467957856	3.263719911026368
18	2.996713378255634	2.996713378255634
19	3.408078240642669	2.996713378255634
20	3.666854217295701	2.996713378255634
21	19.450775559796263	2.996713378255634
22	3.9278992293404063	2.996713378255634
23	52.33664338879169	2.996713378255634
24	3.911683380942252	2.996713378255634
25	3.9044458955825214	2.996713378255634
26	3.894090905189677	2.996713378255634
27	3.8822148538270493	2.996713378255634
28	3.8694564564353016	2.996713378255634
29	3.8562563729221186	2.996713378255634
30	3.8431033417180247	2.996713378255634
31	3.830117192023026	2.996713378255634
32	3.8169952126835325	2.996713378255634
33	3.8035591211709585	2.996713378255634
34	3.7900252425948144	2.996713378255634
35	3.7762511978372415	2.996713378255634
36	4.618891611537853	2.996713378255634
37	3.751906408815679	2.996713378255634
38	3.740564875133257	2.996713378255634
39	3.807932344414901	2.996713378255634
40	3.7178231637227963	2.996713378255634
41	3.7057853342674876	2.996713378255634
42	3.692969378459657	2.996713378255634
43	3.679414138557086	2.996713378255634
44	3.6653029810912314	2.996713378255634
45	3.6507530595610596	2.996713378255634
46	3.6336132249735953	2.996713378255634
47	3.601264036169733	2.996713378255634
48	3.3137493373076685	2.996713378255634
49	4.103496100937632	2.996713378255634
50	3.4841701159161813	2.996713378255634
51	3.6115262775848826	2.996713378255634
52	3.716711281227999	2.996713378255634
53	3.7366250427618737	2.996713378255634
54	3.659841485224094	2.996713378255634
55	3.605949588981379	2.996713378255634
56	3.592780377461166	2.996713378255634
57	3.579663423188023	2.996713378255634
58	3.5652906472908623	2.996713378255634
59	3.5484525990760005	2.996713378255634
60	3.5236295303100635	2.996713378255634
61	3.459833199031094	2.996713378255634
62	3.248381958416247	2.996713378255634
63	4.0988388128890785	2.996713378255634
64	2.6056068626987727	2.6056068626987727
65	2.2253650914091114	2.2253650914091114
66	1.6012505794772245	1.6012505794772245
67	1.3611692753815923	1.3611692753815923
68	1.418949297436435	1.3611692753815923
69	1.14998627322351	1.14998627322351
70	1.1105570015050559	1.1105570015050559
71	1.0140927473740056	1.0140927473740056
72	1.0750937262379825	1.0140927473740056
73	1.049646549461825	1.0140927473740056
74	1.0836253705238468	1.0140927473740056
75	1.0857393371981527	1.0140927473740056
76	1.0812105845857576	1.0140927473740056
77	4.651192194140471	1.0140927473740056
78	1.2001478104511738	1.0140927473740056
79	1.3359662319239862	1.0140927473740056
80	1.2868932130877184	1.0140927473740056
81	1.1693677012025425	1.0140927473740056
82	1.1259382501961495	1.0140927473740056
83	1.1265500396230403	1.0140927473740056
84	1.0928357655890666	1.0140927473740056
85	1.066403091398188	1.0140927473740056
86	1.057725909986855	1.0140927473740056
87	1.0305212218932351	1.0140927473740056
88	1.004849592226402	1.004849592226402
89	0.9993540961794671	0.9993540961794671
90	0.971932865509896	0.971932865509896
91	0.9589774302963593	0.9589774302963593
92	0.959518192870195	0.9589774302963593
93	0.9405329103511325	0.9405329103511325
94	0.948292204751474	0.9405329103511325
95	0.9359865004903414	0.9359865004903414
96	0.9439544896700065	0.9359865004903414
97	0.9293655109517497	0.9293655109517497
98	0.9297711373704824	0.9293655109517497
99	0.9230265562927084	0.9230265562927084
