leg,arch,subset_size,n_reactions,n_density_species,E_kcalmol,D_rmse,gamma,gammaD_kcalmol,ED_kcalmol,E_pbe_kcalmol,D_pbe_rmse,ED_pbe_kcalmol,beats_pbe,E_scan_kcalmol,D_scan_rmse,ED_scan_kcalmol,beats_scan,ED_pbe_cell_kcalmol,ED_scan_cell_kcalmol,n_reactions_slice
bh76_wtmad2_eps_gamma_dfs,shallow,1,72,73,23.07744902002834,0.010224876391617515,1084.87,11.092661650974092,14.983289706697816,24.846477512724878,0.009462203907442296,14.528222759325654,False,,,,,14.528222759325654,,72
bh76_wtmad2_eps_gamma_dfs,shallow,2,72,72,27.4445639693114,0.014665446359528576,1084.87,15.910102792061764,20.142968056397958,24.846477512724878,0.009462203907442296,14.528222759325654,False,,,,,14.549642935002552,,72
bh76_wtmad2_eps_gamma_dfs,shallow,3,72,72,31.85719073387497,0.015846767058181103,1084.87,17.191682178408932,22.33195854156195,24.846477512724878,0.009462203907442296,14.528222759325654,False,,,,,14.549642935002552,,72
bh76_wtmad2_eps_gamma_dfs,shallow,4,72,72,35.2248661124413,0.015972581655906,1084.87,17.32817466104274,23.22920323636918,24.846477512724878,0.009462203907442296,14.528222759325654,False,,,,,14.549642935002552,,72
bh76_wtmad2_eps_gamma_dfs,shallow,5,72,72,32.59081159489411,0.014038641542437589,1084.87,15.230101050144265,20.759175283031755,24.846477512724878,0.009462203907442296,14.528222759325654,False,,,,,14.549642935002552,,72
bh76_wtmad2_eps_gamma_dfs,medium,1,72,73,26.29626029738714,0.009127137912632269,1084.87,9.901758107277368,14.386379148156706,24.846477512724878,0.009462203907442296,14.528222759325654,True,,,,,14.528222759325654,,72
bh76_wtmad2_eps_gamma_dfs,medium,2,72,72,47.400440184049415,0.011716716662704733,1084.87,12.711114405868482,20.046475995449736,24.846477512724878,0.009462203907442296,14.528222759325654,False,,,,,14.549642935002552,,72
bh76_wtmad2_eps_gamma_dfs,medium,3,72,72,23.399645218823714,0.012515772337051726,1084.87,13.577985935297304,17.184446042413754,24.846477512724878,0.009462203907442296,14.528222759325654,False,,,,,14.549642935002552,,72
bh76_wtmad2_eps_gamma_dfs,medium,4,72,72,34.172385501774414,0.014594862640933558,1084.87,15.833528633269587,21.64021810893331,24.846477512724878,0.009462203907442296,14.528222759325654,False,,,,,14.549642935002552,,72
bh76_wtmad2_eps_gamma_dfs,medium,5,72,72,29.29533485862969,0.01141094183420281,1084.87,12.379388467671602,17.404234584401973,24.846477512724878,0.009462203907442296,14.528222759325654,False,,,,,14.549642935002552,,72
bh76_wtmad2_eps_gamma_dfs,medium,6,72,72,29.762026321209007,0.011526951512820975,1084.87,12.50524388771409,17.610855676253873,24.846477512724878,0.009462203907442296,14.528222759325654,False,,,,,14.549642935002552,,72
bh76_wtmad2_eps_gamma_dfs,medium,7,72,71,23.820488884724554,0.009528191927144753,1084.87,10.336849576001528,14.41733001014272,24.846477512724878,0.009462203907442296,14.528222759325654,True,,,,,14.58686903634192,,72
bh76_wtmad2_eps_gamma_dfs,medium,12,72,72,27.631938924648598,0.009450713282301567,1084.87,10.2527953185705,14.956135747494187,24.846477512724878,0.009462203907442296,14.528222759325654,False,,,,,14.549642935002552,,72
bh76_wtmad2_eps_gamma_dfs,medium,15,72,71,25.623471366119407,0.009466133109990893,1084.87,10.269523827035819,14.662518316438197,24.846477512724878,0.009462203907442296,14.528222759325654,False,,,,,14.58686903634192,,72
bh76_wtmad2_eps_gamma_dfs,medium,18,72,71,24.96303069127295,0.009398554552949238,1084.87,10.19620987785804,14.478600561077004,24.846477512724878,0.009462203907442296,14.528222759325654,True,,,,,14.58686903634192,,72
bh76_wtmad2_eps_gamma_dfs,medium_attn,1,72,73,63.34423662041137,0.012399478437345105,1084.87,13.451822172322583,22.19112334811428,24.846477512724878,0.009462203907442296,14.528222759325654,False,,,,,14.528222759325654,,72
bh76_wtmad2_eps_gamma_dfs,medium_attn,2,72,72,54.47210716002398,0.011188921363790889,1084.87,12.13852511993582,19.853018008259205,24.846477512724878,0.009462203907442296,14.528222759325654,False,,,,,14.549642935002552,,72
bh76_wtmad2_eps_gamma_dfs,medium_attn,3,72,72,55.062651030926425,0.010744952031140224,1084.87,11.656876110023093,19.240499112080787,24.846477512724878,0.009462203907442296,14.528222759325654,False,,,,,14.549642935002552,,72
bh76_wtmad2_eps_gamma_dfs,medium_attn,4,72,72,56.54981847764725,0.01123152358662569,1084.87,12.18474299342261,20.049447897179046,24.846477512724878,0.009462203907442296,14.528222759325654,False,,,,,14.549642935002552,,72
bh76_wtmad2_eps_gamma_dfs,medium_attn,5,72,72,42.675192234146465,0.010063306868895136,1084.87,10.917379722858264,17.386785569460034,24.846477512724878,0.009462203907442296,14.528222759325654,False,,,,,14.549642935002552,,72
bh76_wtmad2_eps_gamma_dfs,medium_attn,6,72,72,56.181784666364635,0.01116016971156296,1084.87,12.107333314983308,19.921522295018764,24.846477512724878,0.009462203907442296,14.528222759325654,False,,,,,14.549642935002552,,72
bh76_wtmad2_eps_gamma_dfs,medium_attn,7,72,71,40.119307876356324,0.010107761964426962,1084.87,10.965607722347876,17.2235810555155,24.846477512724878,0.009462203907442296,14.528222759325654,False,,,,,14.58686903634192,,72
bh76_wtmad2_eps_gamma_dfs,medium_attn,12,72,72,41.572652804262056,0.010092438381138678,1084.87,10.948983626545918,17.332982206888985,24.846477512724878,0.009462203907442296,14.528222759325654,False,,,,,14.549642935002552,,72
bh76_wtmad2_eps_gamma_dfs,medium_attn,15,72,71,47.8396038092199,0.010087668134381125,1084.87,10.94380852894605,17.812761912388,24.846477512724878,0.009462203907442296,14.528222759325654,False,,,,,14.58686903634192,,72
bh76_wtmad2_eps_gamma_dfs,medium_attn,18,72,71,45.13910985971174,0.009493044305500206,1084.87,10.298718975708008,16.77103945173873,24.846477512724878,0.009462203907442296,14.528222759325654,False,,,,,14.58686903634192,,72
w411_wtmad2_eps_gamma_dfs,shallow,1,139,139,1.9492561554084193,0.009908393383966221,1084.87,10.749318730463434,3.3000830235076055,2.545481267770251,0.008913203422802078,4.030070806031154,True,,,,,4.127823009423532,,139
w411_wtmad2_eps_gamma_dfs,shallow,2,140,138,1.909414832447409,0.011190008955241451,1084.87,12.139705015272792,3.299812809477815,2.545481267770251,0.008913203422802078,4.030070806031154,True,,,,,4.113310651570078,,140
w411_wtmad2_eps_gamma_dfs,shallow,3,140,138,1.9507584962579412,0.011992015988293293,1084.87,13.009778385219743,3.3927840852852595,2.545481267770251,0.008913203422802078,4.030070806031154,True,,,,,4.113310651570078,,140
w411_wtmad2_eps_gamma_dfs,shallow,4,139,137,2.014002769764954,0.012052947545444786,1084.87,13.075881203626684,3.4903993970607794,2.545481267770251,0.008913203422802078,4.030070806031154,True,,,,,4.121553459282349,,139
w411_wtmad2_eps_gamma_dfs,shallow,5,140,138,1.8287365323970188,0.010886837001216187,1084.87,11.810802857509403,3.167093263933854,2.545481267770251,0.008913203422802078,4.030070806031154,True,,,,,4.113310651570078,,140
w411_wtmad2_eps_gamma_dfs,medium,1,139,139,1.1605648447792427,0.008738807817080743,1084.87,9.480470436516384,2.067975607585839,2.545481267770251,0.008913203422802078,4.030070806031154,True,,,,,4.044914975697889,,139
w411_wtmad2_eps_gamma_dfs,medium,2,140,138,3.9124604381750925,0.009807807079403218,1084.87,10.640195666232168,5.721202273991484,2.545481267770251,0.008913203422802078,4.030070806031154,False,,,,,4.030665381484349,,140
w411_wtmad2_eps_gamma_dfs,medium,3,140,138,2.087759348911114,0.010863304034520568,1084.87,11.785272647930327,3.5471428532399996,2.545481267770251,0.008913203422802078,4.030070806031154,True,,,,,4.030665381484349,,140
w411_wtmad2_eps_gamma_dfs,medium,4,139,137,2.0945883127002163,0.011023060666741273,1084.87,11.958587825527603,3.564791054971853,2.545481267770251,0.008913203422802078,4.030070806031154,True,,,,,4.03864083850889,,139
w411_wtmad2_eps_gamma_dfs,medium,5,140,138,1.728859389105658,0.010061205685024817,1084.87,10.915100211512872,2.9849309994283826,2.545481267770251,0.008913203422802078,4.030070806031154,True,,,,,4.030665381484349,,140
w411_wtmad2_eps_gamma_dfs,medium,6,139,138,1.9236512090328373,0.010130510402670323,1084.87,10.990286820544952,3.274210931094294,2.545481267770251,0.008913203422802078,4.030070806031154,True,,,,,4.036383903042285,,139
w411_wtmad2_eps_gamma_dfs,medium,7,137,137,1.3610734993018665,0.008802100781739328,1084.87,9.549135075085545,2.3825529279915965,2.545481267770251,0.008913203422802078,4.030070806031154,True,,,,,4.025817904698445,,137
w411_wtmad2_eps_gamma_dfs,medium,12,134,137,1.4148472821810314,0.008727839725388436,1084.87,9.468571482882151,2.461833531885577,2.545481267770251,0.008913203422802078,4.030070806031154,True,,,,,3.999308020949018,,134
w411_wtmad2_eps_gamma_dfs,medium,15,132,136,1.3454383703997306,0.008652412900397612,1084.87,9.386743183254357,2.35353537185336,2.545481267770251,0.008913203422802078,4.030070806031154,True,,,,,3.979059968583032,,132
w411_wtmad2_eps_gamma_dfs,medium,18,130,136,1.303279966286288,0.008494326219027435,1084.87,9.215239685236293,2.283598389162364,2.545481267770251,0.008913203422802078,4.030070806031154,True,,,,,3.916345159562196,,130
w411_wtmad2_eps_gamma_dfs,medium_attn,1,139,139,1.8702216195655175,0.012140192383610025,1084.87,13.170530511207007,3.275342973415717,2.545481267770251,0.008913203422802078,4.030070806031154,True,,,,,4.044914975697889,,139
w411_wtmad2_eps_gamma_dfs,medium_attn,2,140,138,4.389420812426852,0.01066448223139423,1084.87,11.569576838372656,6.364277065080018,2.545481267770251,0.008913203422802078,4.030070806031154,False,,,,,4.030665381484349,,140
w411_wtmad2_eps_gamma_dfs,medium_attn,3,140,138,2.1241039157769417,0.010079259227820492,1084.87,10.934685958485616,3.55720698255313,2.545481267770251,0.008913203422802078,4.030070806031154,True,,,,,4.030665381484349,,140
w411_wtmad2_eps_gamma_dfs,medium_attn,4,139,137,2.38893232821189,0.00976904051080592,1084.87,10.598138978958017,3.8989909621482806,2.545481267770251,0.008913203422802078,4.030070806031154,True,,,,,4.03864083850889,,139
w411_wtmad2_eps_gamma_dfs,medium_attn,5,140,138,1.3850026792399968,0.010058516721818248,1084.87,10.912183035998961,2.4580262657149143,2.545481267770251,0.008913203422802078,4.030070806031154,True,,,,,4.030665381484349,,140
w411_wtmad2_eps_gamma_dfs,medium_attn,6,139,138,1.4631463466484613,0.00921548199677341,1084.87,9.997599953839568,2.5527049398328083,2.545481267770251,0.008913203422802078,4.030070806031154,True,,,,,4.036383903042285,,139
w411_wtmad2_eps_gamma_dfs,medium_attn,7,137,137,1.112611202050248,0.009727147279659435,1084.87,10.55269026928413,2.0129855082140677,2.545481267770251,0.008913203422802078,4.030070806031154,True,,,,,4.025817904698445,,137
w411_wtmad2_eps_gamma_dfs,medium_attn,12,134,137,1.5948191480023808,0.009944498088558549,1084.87,10.788487641334513,2.7788517172493727,2.545481267770251,0.008913203422802078,4.030070806031154,True,,,,,3.999308020949018,,134
w411_wtmad2_eps_gamma_dfs,medium_attn,15,132,136,1.299120145030134,0.009162448347549585,1084.87,9.940065338806116,2.297913695459562,2.545481267770251,0.008913203422802078,4.030070806031154,True,,,,,4.0664086202699705,,132
