label,arch,verdict,n_atomizations,mean_abs_dAE_kcalmol,rmse_dAE_kcalmol,max_abs_dAE_kcalmol,species_over_1_kcalmol,tol_AE,tol_AE_aggregate,tol_AE_max_backstop
v7,medium,PASS,23,0.1623846240242485,0.21132105528198597,0.5194979949766765,,1.0,max,
v7,shallow,FAIL,23,0.34284831511055697,0.5044755614658045,1.4212008903517395,C3H8;C4H6,1.0,max,
v7,shallow_attn,PASS,23,0.1314492854906329,0.19577575564296118,0.5734102927801907,,1.0,max,
v7,deep_3x16,PASS,23,0.11362551296965719,0.16625121284251573,0.45011339648194915,,1.0,max,
v7,deep_cusp_3x16,FAIL,23,0.18788582089763306,0.28290253825602546,1.0708525063717822,AlCl3,1.0,max,
legacy,medium,FAIL,23,0.8530501755031813,1.1326804156446848,2.984756759585181,C2H2;C3H8;C4H6;CH4;PH3;SiCH6;SiH4,1.0,max,
legacy,medium_attn,FAIL,23,0.5292737632888715,0.6776025148619477,1.8610679516898978,C3H8;C4H6;SiCH6,1.0,max,
legacy,shallow,FAIL,23,3.61480443255085,4.5950020532950155,11.279024792003904,AlCl3;C2H2;C3H8;C4H6;CH2;CH4;CO;CO2;H2;H2O;HCN;HCl;LiH;N2;Na2;O2;PH3;Si2;SiCH6;SiH4,1.0,max,
legacy,shallow_attn,FAIL,23,0.38268777481415406,0.5496967539063455,1.6345801437856688,C3H8;C4H6,1.0,max,
