panel,series,x_name,x,y_name,y
a_exchange,pbe_fx,s,0.86,F_x,1.1350769286058227
a_exchange,pbe_fx,s,0.87,F_x,1.1376953958363645
a_exchange,pbe_fx,s,0.88,F_x,1.1403233600396856
a_exchange,pbe_fx,s,0.89,F_x,1.142960355334778
a_exchange,pbe_fx,s,0.9,F_x,1.1456059207506675
a_exchange,pbe_fx,s,0.91,F_x,1.148259600334947
a_exchange,pbe_fx,s,0.92,F_x,1.1509209432564051
a_exchange,pbe_fx,s,0.93,F_x,1.15358950390181
a_exchange,pbe_fx,s,0.9400000000000001,F_x,1.1562648419669252
a_exchange,pbe_fx,s,0.9500000000000001,F_x,1.1589465225418367
a_exchange,pbe_fx,s,0.96,F_x,1.1616341161906734
a_exchange,pbe_fx,s,0.97,F_x,1.164327199025803
a_exchange,pbe_fx,s,0.98,F_x,1.1670253527766037
a_exchange,pbe_fx,s,0.99,F_x,1.1697281648528939
a_exchange,pbe_fx,s,1.0,F_x,1.172435228403129
a_exchange,pbe_fx,s,1.01,F_x,1.1751461423674554
a_exchange,pbe_fx,s,1.02,F_x,1.1778605115257332
a_exchange,pbe_fx,s,1.03,F_x,1.1805779465406296
a_exchange,pbe_fx,s,1.04,F_x,1.1832980639958885
a_exchange,pbe_fx,s,1.05,F_x,1.1860204864298936
a_exchange,pbe_fx,s,1.06,F_x,1.188744842364629
a_exchange,pbe_fx,s,1.07,F_x,1.1914707663301556
a_exchange,pbe_fx,s,1.08,F_x,1.1941978988847173
a_exchange,pbe_fx,s,1.09,F_x,1.1969258866305892
a_exchange,pbe_fx,s,1.1,F_x,1.1996543822257886
a_exchange,pbe_fx,s,1.11,F_x,1.2023830443917651
a_exchange,pbe_fx,s,1.12,F_x,1.2051115379171837
a_exchange,pbe_fx,s,1.1300000000000001,F_x,1.2078395336579266
a_exchange,pbe_fx,s,1.1400000000000001,F_x,1.2105667085334217
a_exchange,pbe_fx,s,1.1500000000000001,F_x,1.2132927455194251
a_exchange,pbe_fx,s,1.16,F_x,1.2160173336373683
a_exchange,pbe_fx,s,1.17,F_x,1.2187401679403935
a_exchange,pbe_fx,s,1.18,F_x,1.221460949496187
a_exchange,pbe_fx,s,1.19,F_x,1.224179385366733
a_exchange,pbe_fx,s,1.2,F_x,1.2268951885850992
a_exchange,pbe_fx,s,1.21,F_x,1.2296080781293688
a_exchange,pbe_fx,s,1.22,F_x,1.2323177788938349
a_exchange,pbe_fx,s,1.23,F_x,1.2350240216575636
a_exchange,pbe_fx,s,1.24,F_x,1.237726543050444
a_exchange,pbe_fx,s,1.25,F_x,1.2404250855168273
a_exchange,pbe_fx,s,1.26,F_x,1.243119397276866
a_exchange,pbe_fx,s,1.27,F_x,1.24580923228566
a_exchange,pbe_fx,s,1.28,F_x,1.248494350190314
a_exchange,pbe_fx,s,1.29,F_x,1.2511745162850048
a_exchange,pbe_fx,s,1.3,F_x,1.2538495014641662
a_exchange,pbe_fx,s,1.31,F_x,1.256519082173886
a_exchange,pbe_fx,s,1.32,F_x,1.2591830403616133
a_exchange,pbe_fx,s,1.33,F_x,1.2618411634242725
a_exchange,pbe_fx,s,1.34,F_x,1.2644932441548749
a_exchange,pbe_fx,s,1.35,F_x,1.2671390806877225
a_exchange,pbe_fx,s,1.36,F_x,1.2697784764422915
a_exchange,pbe_fx,s,1.37,F_x,1.27241124006588
a_exchange,pbe_fx,s,1.3800000000000001,F_x,1.2750371853751106
a_exchange,pbe_fx,s,1.3900000000000001,F_x,1.2776561312963648
a_exchange,pbe_fx,s,1.4000000000000001,F_x,1.2802679018052352
a_exchange,pbe_fx,s,1.41,F_x,1.282872325865069
a_exchange,pbe_fx,s,1.42,F_x,1.2854692373646837
a_exchange,pbe_fx,s,1.43,F_x,1.2880584750553254
a_exchange,pbe_fx,s,1.44,F_x,1.290639882486946
a_exchange,pbe_fx,s,1.45,F_x,1.2932133079438641
a_exchange,pbe_fx,s,1.46,F_x,1.295778604379882
a_exchange,pbe_fx,s,1.47,F_x,1.2983356293529211
a_exchange,pbe_fx,s,1.48,F_x,1.3008842449592428
a_exchange,pbe_fx,s,1.49,F_x,1.3034243177673104
a_exchange,pbe_fx,s,1.5,F_x,1.3059557187513589
a_exchange,pbe_fx,s,1.51,F_x,1.308478323224724
a_exchange,pbe_fx,s,1.52,F_x,1.3109920107729867
a_exchange,pbe_fx,s,1.53,F_x,1.3134966651869897
a_exchange,pbe_fx,s,1.54,F_x,1.3159921743957734
a_exchange,pbe_fx,s,1.55,F_x,1.3184784303994812
a_exchange,pbe_fx,s,1.56,F_x,1.320955329202283
a_exchange,pbe_fx,s,1.57,F_x,1.3234227707453616
a_exchange,pbe_fx,s,1.58,F_x,1.3258806588400038
a_exchange,pbe_fx,s,1.59,F_x,1.328328901100841
a_exchange,pbe_fx,s,1.6,F_x,1.330767408879276
a_exchange,pbe_fx,s,1.61,F_x,1.3331960971971366
a_exchange,pbe_fx,s,1.62,F_x,1.3356148846805902
a_exchange,pbe_fx,s,1.6300000000000001,F_x,1.338023693494357
a_exchange,pbe_fx,s,1.6400000000000001,F_x,1.3404224492762498
a_exchange,pbe_fx,s,1.6500000000000001,F_x,1.3428110810720784
a_exchange,pbe_fx,s,1.6600000000000001,F_x,1.3451895212709428
a_exchange,pbe_fx,s,1.67,F_x,1.3475577055409458
a_exchange,pbe_fx,s,1.68,F_x,1.3499155727653525
a_exchange,pbe_fx,s,1.69,F_x,1.3522630649792198
a_exchange,pbe_fx,s,1.7,F_x,1.3546001273065218
a_exchange,pbe_fx,s,1.71,F_x,1.356926707897792
a_exchange,pbe_fx,s,1.72,F_x,1.3592427578683057
a_exchange,pbe_fx,s,1.73,F_x,1.3615482312368183
a_exchange,pbe_fx,s,1.74,F_x,1.363843084864883
