panel,series,x_name,x,y_name,y,raw_indicator
a_linear,compute_alpha,tau_over_tau_unif,1.6666666666666667,alpha,5e-06,0.0
a_linear,compute_alpha,tau_over_tau_unif,1.6916666666666667,alpha,0.025000000999999814,0.025
a_linear,compute_alpha,tau_over_tau_unif,1.7166666666666668,alpha,0.050000000500000016,0.05
a_linear,compute_alpha,tau_over_tau_unif,1.7416666666666667,alpha,0.0750000003333332,0.07500000000000001
a_linear,compute_alpha,tau_over_tau_unif,1.7666666666666668,alpha,0.10000000025000003,0.1
a_linear,compute_alpha,tau_over_tau_unif,1.7916666666666667,alpha,0.1250000001999999,0.125
a_linear,compute_alpha,tau_over_tau_unif,1.8166666666666669,alpha,0.1500000001666667,0.15000000000000002
a_linear,compute_alpha,tau_over_tau_unif,1.8416666666666668,alpha,0.17500000014285705,0.17500000000000002
a_linear,compute_alpha,tau_over_tau_unif,1.8666666666666667,alpha,0.20000000012500008,0.2
a_linear,compute_alpha,tau_over_tau_unif,1.8916666666666668,alpha,0.22500000011111104,0.225
a_linear,compute_alpha,tau_over_tau_unif,1.9166666666666667,alpha,0.2500000001,0.25
a_linear,compute_alpha,tau_over_tau_unif,1.9416666666666669,alpha,0.27500000009090897,0.275
a_linear,compute_alpha,tau_over_tau_unif,1.9666666666666668,alpha,0.30000000008333344,0.30000000000000004
a_linear,compute_alpha,tau_over_tau_unif,1.9916666666666667,alpha,0.32500000007692303,0.325
a_linear,compute_alpha,tau_over_tau_unif,2.0166666666666666,alpha,0.3500000000714286,0.35000000000000003
a_linear,compute_alpha,tau_over_tau_unif,2.041666666666667,alpha,0.3750000000666666,0.375
a_linear,compute_alpha,tau_over_tau_unif,2.066666666666667,alpha,0.40000000006250014,0.4
a_linear,compute_alpha,tau_over_tau_unif,2.091666666666667,alpha,0.42500000005882355,0.42500000000000004
a_linear,compute_alpha,tau_over_tau_unif,2.1166666666666667,alpha,0.4500000000555557,0.45
a_linear,compute_alpha,tau_over_tau_unif,2.1416666666666666,alpha,0.47500000005263154,0.47500000000000003
a_linear,compute_alpha,tau_over_tau_unif,2.166666666666667,alpha,0.5000000000499998,0.5
a_linear,compute_alpha,tau_over_tau_unif,2.191666666666667,alpha,0.525000000047619,0.525
a_linear,compute_alpha,tau_over_tau_unif,2.216666666666667,alpha,0.5500000000454547,0.55
a_linear,compute_alpha,tau_over_tau_unif,2.2416666666666667,alpha,0.5750000000434783,0.5750000000000001
a_linear,compute_alpha,tau_over_tau_unif,2.2666666666666666,alpha,0.6000000000416669,0.6000000000000001
a_linear,compute_alpha,tau_over_tau_unif,2.291666666666667,alpha,0.62500000004,0.625
a_linear,compute_alpha,tau_over_tau_unif,2.316666666666667,alpha,0.6500000000384618,0.65
a_linear,compute_alpha,tau_over_tau_unif,2.341666666666667,alpha,0.6750000000370371,0.675
a_linear,compute_alpha,tau_over_tau_unif,2.3666666666666667,alpha,0.7000000000357143,0.7000000000000001
a_linear,compute_alpha,tau_over_tau_unif,2.3916666666666666,alpha,0.7250000000344828,0.7250000000000001
a_linear,compute_alpha,tau_over_tau_unif,2.416666666666667,alpha,0.7500000000333332,0.75
a_linear,compute_alpha,tau_over_tau_unif,2.441666666666667,alpha,0.7750000000322582,0.775
a_linear,compute_alpha,tau_over_tau_unif,2.466666666666667,alpha,0.8000000000312499,0.8
a_linear,compute_alpha,tau_over_tau_unif,2.4916666666666667,alpha,0.825000000030303,0.8250000000000001
a_linear,compute_alpha,tau_over_tau_unif,2.5166666666666666,alpha,0.8500000000294121,0.8500000000000001
a_linear,compute_alpha,tau_over_tau_unif,2.541666666666667,alpha,0.8750000000285711,0.875
a_linear,compute_alpha,tau_over_tau_unif,2.566666666666667,alpha,0.9000000000277778,0.9
a_linear,compute_alpha,tau_over_tau_unif,2.591666666666667,alpha,0.9250000000270272,0.925
a_linear,compute_alpha,tau_over_tau_unif,2.6166666666666667,alpha,0.950000000026316,0.9500000000000001
a_linear,compute_alpha,tau_over_tau_unif,2.6416666666666666,alpha,0.9750000000256412,0.9750000000000001
a_linear,compute_alpha,tau_over_tau_unif,2.666666666666667,alpha,1.000000000025,1.0
a_linear,compute_alpha,tau_over_tau_unif,2.691666666666667,alpha,1.0250000000243904,1.0250000000000001
a_linear,compute_alpha,tau_over_tau_unif,2.716666666666667,alpha,1.0500000000238097,1.05
a_linear,compute_alpha,tau_over_tau_unif,2.7416666666666667,alpha,1.0750000000232558,1.075
a_linear,compute_alpha,tau_over_tau_unif,2.7666666666666666,alpha,1.1000000000227272,1.1
a_linear,compute_alpha,tau_over_tau_unif,2.791666666666667,alpha,1.1250000000222224,1.125
a_linear,compute_alpha,tau_over_tau_unif,2.816666666666667,alpha,1.1500000000217394,1.1500000000000001
a_linear,compute_alpha,tau_over_tau_unif,2.841666666666667,alpha,1.1750000000212764,1.175
a_linear,compute_alpha,tau_over_tau_unif,2.866666666666667,alpha,1.2000000000208333,1.2000000000000002
a_linear,compute_alpha,tau_over_tau_unif,2.8916666666666666,alpha,1.2250000000204084,1.225
a_linear,compute_alpha,tau_over_tau_unif,2.916666666666667,alpha,1.2500000000200004,1.25
a_linear,compute_alpha,tau_over_tau_unif,2.941666666666667,alpha,1.2750000000196078,1.2750000000000001
a_linear,compute_alpha,tau_over_tau_unif,2.966666666666667,alpha,1.3000000000192307,1.3
a_linear,compute_alpha,tau_over_tau_unif,2.991666666666667,alpha,1.3250000000188682,1.3250000000000002
