panel,series,x_name,x,y_name,y,Fx
a_residual,s0,alpha,100.0,abs_delta_Fx,0.0,0.7859764895826804
a_residual,s0,alpha,102.92005271944286,abs_delta_Fx,4.9556155020669124e-05,0.7859269334276597
a_residual,s0,alpha,105.92537251772886,abs_delta_Fx,9.769009043458787e-05,0.7858787994922458
a_residual,s0,alpha,109.01844923851279,abs_delta_Fx,0.00014444307074890084,0.7858320465119315
a_residual,s0,alpha,112.2018454301963,abs_delta_Fx,0.000189855138092776,0.7857866344445876
a_residual,s0,alpha,115.47819846894582,abs_delta_Fx,0.00023396514982976235,0.7857425244328506
a_residual,s0,alpha,118.85022274370189,abs_delta_Fx,0.00027681081493446946,0.7856996787677459
a_residual,s0,alpha,122.32071190499313,abs_delta_Fx,0.00031842872918419474,0.7856580608534962
a_residual,s0,alpha,125.89254117941675,abs_delta_Fx,0.0003588544091988055,0.7856176351734816
a_residual,s0,alpha,129.5686697517019,abs_delta_Fx,0.000398122325375061,0.7855783672573053
a_residual,s0,alpha,133.3521432163324,abs_delta_Fx,0.00043626593375667433,0.7855402236489237
a_residual,s0,alpha,137.24609610075626,abs_delta_Fx,0.00047331770687186747,0.7855031718758085
a_residual,s0,alpha,141.2537544622754,abs_delta_Fx,0.0005093091635819391,0.7854671804190985
a_residual,s0,alpha,145.37843856076623,abs_delta_Fx,0.0005442708979712663,0.7854322186847091
a_residual,s0,alpha,149.6235656094433,abs_delta_Fx,0.0005782326073113797,0.785398256975369
a_residual,s0,alpha,153.9926526059492,abs_delta_Fx,0.0006112231191357509,0.7853652664635447
a_residual,s0,alpha,158.48931924611142,abs_delta_Fx,0.0006432704174537118,0.7853332191652267
a_residual,s0,alpha,163.1172909227838,abs_delta_Fx,0.0006744016681297094,0.7853020879145507
a_residual,s0,alpha,167.88040181225605,abs_delta_Fx,0.0007046432434665295,0.7852718463392139
a_residual,s0,alpha,172.78259805078628,abs_delta_Fx,0.0007340207460053705,0.785242468836675
a_residual,s0,alpha,177.82794100389228,abs_delta_Fx,0.0007625590315845088,0.7852139305510959
a_residual,s0,alpha,183.02061063110568,abs_delta_Fx,0.0007902822316718794,0.7851862073510085
a_residual,s0,alpha,188.36490894898,abs_delta_Fx,0.0008172137749968833,0.7851592758076835
