panel,series,x_name,x,y_name,y,F_parent,z_parent
a_exchange,pbe_fx,s,0.0,L_prime,0.4456762749445677,1.0,0.0
a_exchange,pbe_fx,s,0.025,L_prime,0.4456613609685056,1.0001371734503082,0.0003077923432356078
a_exchange,pbe_fx,s,0.05,L_prime,0.4456165245428575,1.0005484131007953,0.001230601364082845
a_exchange,pbe_fx,s,0.07500000000000001,L_prime,0.4455414832967229,1.0012328782849313,0.0027667265253781548
a_exchange,pbe_fx,s,0.1,L_prime,0.44543577033345405,1.002189172660767,0.004913345184974799
a_exchange,pbe_fx,s,0.125,L_prime,0.44529873975460815,1.0034153513166864,0.0076665298191676
a_exchange,pbe_fx,s,0.15000000000000002,L_prime,0.4451295742780692,1.0049089306249135,0.011021271826493428
a_exchange,pbe_fx,s,0.17500000000000002,L_prime,0.4449272948378046,1.0066669007499534,0.014971511611021976
a_exchange,pbe_fx,s,0.2,L_prime,0.4446907720245832,1.0086857406950527,0.019510174569567884
a_exchange,pbe_fx,s,0.225,L_prime,0.4444187392016966,1.010961435747421,0.02462921254052816
a_exchange,pbe_fx,s,0.25,L_prime,0.44410980710777065,1.0134894971626558,0.03031965021448757
a_exchange,pbe_fx,s,0.275,L_prime,0.44376247974049693,1.0162649839108355,0.03657163595928134
a_exchange,pbe_fx,s,0.30000000000000004,L_prime,0.4433751713008476,1.0192825262913066,0.04337449647551209
a_exchange,pbe_fx,s,0.325,L_prime,0.4429462239672253,1.022536351210436,0.050716794672877846
a_exchange,pbe_fx,s,0.35000000000000003,L_prime,0.442473926263135,1.0260203089066646,0.05858639014311459
a_exchange,pbe_fx,s,0.375,L_prime,0.44195653178029454,1.0297279009001115,0.06697050160161777
a_exchange,pbe_fx,s,0.4,L_prime,0.4413922780215243,1.0336523089397605,0.07585577067633242
a_exchange,pbe_fx,s,0.42500000000000004,L_prime,0.4407794051340348,1.0377864247198565,0.08522832643854775
a_exchange,pbe_fx,s,0.45,L_prime,0.4401161743135858,1.0421228801384386,0.09507385009482155
a_exchange,pbe_fx,s,0.47500000000000003,L_prime,0.43940088567305113,1.0466540778748243,0.10537763929133867
a_exchange,pbe_fx,s,0.5,L_prime,0.4386318953847735,1.0513722220691275,0.11612467152033135
a_exchange,pbe_fx,s,0.525,L_prime,0.43780763192428157,1.056269348895353,0.12729966616157926
a_exchange,pbe_fx,s,0.55,L_prime,0.4369266112629858,1.061337356830009,0.1388871447391288
a_exchange,pbe_fx,s,0.5750000000000001,L_prime,0.4359874508788709,1.0665680364302768,0.1508714890230831
a_exchange,pbe_fx,s,0.6000000000000001,L_prime,0.43498888247648615,1.0719530994492863,0.1632369966573749
a_exchange,pbe_fx,s,0.625,L_prime,0.4339297633302156,1.0774842071307018,0.175967934045768
a_exchange,pbe_fx,s,0.65,L_prime,0.43280908618743985,1.0831529975403624,0.1890485862790525
a_exchange,pbe_fx,s,0.675,L_prime,0.43162598769037686,1.0889511118088369,0.2024633039354837
a_exchange,pbe_fx,s,0.7000000000000001,L_prime,0.43037975529672856,1.0948702191752313,0.21619654663341417
a_exchange,pbe_fx,s,0.7250000000000001,L_prime,0.4290698326994466,1.1009020407391494,0.2302329232590773
a_exchange,pbe_fx,s,0.75,L_prime,0.42769582376469334,1.1070383718441337,0.2445572288331823
a_exchange,pbe_fx,s,0.775,L_prime,0.4262574950241899,1.1132711030320084,0.2591544780170488
a_exchange,pbe_fx,s,0.8,L_prime,0.42475477677345735,1.119592239523111,0.27400993529220946
a_exchange,pbe_fx,s,0.8250000000000001,L_prime,0.42318776284084175,1.1259939191922888,0.28910914187668124
a_exchange,pbe_fx,s,0.8500000000000001,L_prime,0.42155670910362325,1.1324684290245925,0.30443793946635833
a_exchange,pbe_fx,s,0.875,L_prime,0.41986203083691465,1.139008220047757,0.3199824909114045
a_exchange,pbe_fx,s,0.9,L_prime,0.41810429898848095,1.1456059207506675,0.33572929795512696
a_exchange,pbe_fx,s,0.925,L_prime,0.4162842354781259,1.152254349008086,0.3516652161769137
a_exchange,pbe_fx,s,0.9500000000000001,L_prime,0.41440270762397863,1.1589465225418367,0.36777746729154703
a_exchange,pbe_fx,s,0.9750000000000001,L_prime,0.41246072179998905,1.1656756679574736,0.3840536489649164
a_exchange,pbe_fx,s,1.0,L_prime,0.41045941642935,1.172435228403129,0.4004817423110646
a_exchange,pbe_fx,s,1.0250000000000001,L_prime,0.4084000544175464,1.1792188699038115,0.4170501172379668
a_exchange,pbe_fx,s,1.05,L_prime,0.40628401512645607,1.1860204864298936,0.43374753580967396
a_exchange,pbe_fx,s,1.075,L_prime,0.4041127859875577,1.192834203762979,0.45056315379086004
a_exchange,pbe_fx,s,1.1,L_prime,0.4018879538479957,1.1996543822257886,0.4674865205365609
a_exchange,pbe_fx,s,1.125,L_prime,0.39961119613818985,1.2064756183452223,0.4845075773853252
a_exchange,pbe_fx,s,1.1500000000000001,L_prime,0.3972842719440014,1.2132927455194251,0.5016166547083148
a_exchange,pbe_fx,s,1.175,L_prime,0.3949090130603328,1.220100833760554,0.5188044677603769
a_exchange,pbe_fx,s,1.2000000000000002,L_prime,0.3924873150965925,1.2268951885850992,0.536062111471886
a_exchange,pbe_fx,s,1.225,L_prime,0.3900211286978038,1.2336713491231373,0.5533810543125148
a_exchange,pbe_fx,s,1.25,L_prime,0.3875124509384303,1.2404250855168273,0.5707531313500861
a_exchange,pbe_fx,s,1.2750000000000001,L_prime,0.3849633169392874,1.2471523956769321,0.5881705366195354
a_exchange,pbe_fx,s,1.3,L_prime,0.3823757917513403,1.2538495014641662,0.6056258149088192
a_exchange,pbe_fx,s,1.3250000000000002,L_prime,0.37975196254379767,1.2605128443598486,0.623111853060473
a_exchange,pbe_fx,s,1.35,L_prime,0.37709393112778544,1.2671390806877225,0.6406218708795574
a_exchange,pbe_fx,s,1.375,L_prime,0.37440380684105073,1.2737250764459462,0.6581494117309563
a_exchange,pbe_fx,s,1.4000000000000001,L_prime,0.37168369981367233,1.2802679018052352,0.6756883329015339
a_exchange,pbe_fx,s,1.425,L_prime,0.36893571462964175,1.2867648253259727,0.6932327957954689
a_exchange,pbe_fx,s,1.4500000000000002,L_prime,0.3661619443944674,1.2932133079438641,0.7107772560242848
a_exchange,pbe_fx,s,1.475,L_prime,0.3633644652146468,1.2996109967704328,0.7283164534466652
a_exchange,pbe_fx,s,1.5,L_prime,0.3605453310909496,1.3059557187513589,0.7458454022070758
a_exchange,pbe_fx,s,1.5250000000000001,L_prime,0.3577065692239642,1.3122454742224083,0.7633593808165754
