#Epoch	Loss	Best
0	28.77280379020798	28.77280379020798
1	432.7882599233692	28.77280379020798
2	154.28657161937463	28.77280379020798
3	6.7768668298670205	6.7768668298670205
4	9.979529889485834	6.7768668298670205
5	6.822003597627257	6.7768668298670205
6	3.607746920033014	3.607746920033014
7	4.1816516919493365	3.607746920033014
8	3.604012668247559	3.604012668247559
9	3.141099195840947	3.141099195840947
10	3.05205719932639	3.05205719932639
11	3.022905543207301	3.022905543207301
12	3.0160871742734243	3.0160871742734243
13	2.987079529045943	2.987079529045943
14	2.947930886211033	2.947930886211033
15	2.905988874123337	2.905988874123337
16	2.8575278961589676	2.8575278961589676
17	2.822343498936542	2.822343498936542
18	2.7788475512763697	2.7788475512763697
19	2.7202805266786387	2.7202805266786387
20	2.631719753465614	2.631719753465614
21	2.515616319251189	2.515616319251189
22	2.419653216104016	2.419653216104016
23	2.4734428923212946	2.419653216104016
24	2.4770177152874346	2.419653216104016
25	2.3572865323030454	2.3572865323030454
26	2.2807308693370136	2.2807308693370136
27	2.265756841234262	2.265756841234262
28	2.247768493823298	2.247768493823298
29	2.191354838998785	2.191354838998785
30	2.1108200462318845	2.1108200462318845
31	2.0542217945501693	2.0542217945501693
32	2.0848836596956235	2.0542217945501693
33	2.129729945052448	2.0542217945501693
34	2.10823263594739	2.0542217945501693
35	2.0636888345988336	2.0542217945501693
36	2.0210723488359665	2.0210723488359665
37	1.9841176817882287	1.9841176817882287
38	1.9560964451353546	1.9560964451353546
39	1.939133522836629	1.939133522836629
40	2.188640387713118	1.939133522836629
41	1.9754574603957813	1.939133522836629
42	1.9755880447542884	1.939133522836629
43	1.9310749431629834	1.9310749431629834
44	1.9195202415668695	1.9195202415668695
45	1.9248744345890962	1.9195202415668695
46	1.905039546978827	1.905039546978827
47	1.8552355337754172	1.8552355337754172
48	1.803786304550988	1.803786304550988
49	1.7681003083189628	1.7681003083189628
50	1.6771495485453167	1.6771495485453167
51	1.5229672080292969	1.5229672080292969
52	1.3774370348770992	1.3774370348770992
53	1.2580780812557084	1.2580780812557084
54	1.1328666150520053	1.1328666150520053
55	1.0184509196361544	1.0184509196361544
56	0.9222669652951134	0.9222669652951134
57	0.8431025009421059	0.8431025009421059
58	0.8295703634660998	0.8295703634660998
59	0.8362290368530672	0.8295703634660998
60	0.843019042515576	0.8295703634660998
61	0.8407147977364675	0.8295703634660998
62	0.8331262468513108	0.8295703634660998
63	0.8163280337980218	0.8163280337980218
64	0.7954979722727977	0.7954979722727977
65	0.7720687084695529	0.7720687084695529
66	0.7470039595755056	0.7470039595755056
67	0.7269929687317845	0.7269929687317845
68	0.7100012760014222	0.7100012760014222
69	0.694000082352627	0.694000082352627
70	0.6813474729235125	0.6813474729235125
71	0.6612427915122829	0.6612427915122829
72	0.6379170284248963	0.6379170284248963
73	0.6084087617474381	0.6084087617474381
74	0.5750569013260779	0.5750569013260779
75	0.5418862331770055	0.5418862331770055
76	0.5053175335226411	0.5053175335226411
77	0.46913569994279203	0.46913569994279203
78	0.42709790886791094	0.42709790886791094
79	0.38849248739505937	0.38849248739505937
80	0.35885792901929825	0.35885792901929825
81	0.34093443614373814	0.34093443614373814
82	0.3420638437028713	0.34093443614373814
83	0.3575834924163182	0.34093443614373814
84	0.37371655834415185	0.34093443614373814
85	0.37987403509966056	0.34093443614373814
86	0.3761983768130214	0.34093443614373814
87	0.3688160680805812	0.34093443614373814
88	0.3650973899633333	0.34093443614373814
89	0.36434480205322056	0.34093443614373814
90	0.36517387248193073	0.34093443614373814
91	0.3572862348278706	0.34093443614373814
92	0.35767229768515135	0.34093443614373814
93	0.35637767430899275	0.34093443614373814
94	0.3456843036245074	0.34093443614373814
95	0.3419245846379047	0.34093443614373814
96	0.3360091274937247	0.3360091274937247
97	0.3286713135080282	0.3286713135080282
98	0.33115451994734385	0.3286713135080282
99	0.3328720083229067	0.3286713135080282
